Date,Open,High,Low,Close,Adj Close,Volume
2018-04-01,291.940002,338.820007,271.220001,312.459991,312.459991,262006000
2018-05-01,310.359985,356.100006,305.730011,351.600006,351.600006,142050800
2018-06-01,353.880005,423.209991,352.820007,391.429993,391.429993,244031800
2018-07-01,385.450012,419.769989,328.000000,337.450012,337.450012,305393800
2018-08-01,335.869995,376.809998,310.929993,367.679993,367.679993,213122300
2018-09-01,366.470001,383.200012,335.829987,374.130005,374.130005,170832100
2018-10-01,375.850006,386.799988,271.209991,301.779999,301.779999,363589800
2018-11-01,304.589996,332.049988,250.000000,286.130005,286.130005,257126400
2018-12-01,293.190002,298.720001,231.229996,267.660004,267.660004,234310000
2019-01-01,259.279999,358.850006,256.579987,339.500000,339.500000,306616400
2019-02-01,337.179993,371.489990,336.500000,358.100006,358.100006,148192100
2019-03-01,362.260010,379.000000,342.470001,356.559998,356.559998,144843100
2019-04-01,359.000000,384.799988,342.269989,370.540009,370.540009,165079400
2019-05-01,374.000000,385.989990,341.390015,343.279999,343.279999,125298300
2019-06-01,343.559998,375.000000,332.649994,367.320007,367.320007,111052000
2019-07-01,373.500000,384.760010,305.809998,322.989990,322.989990,196652500
2019-08-01,324.250000,328.579987,287.200012,293.750000,293.750000,137076700
2019-09-01,290.820007,301.549988,252.279999,267.619995,267.619995,175411300
2019-10-01,267.350006,308.750000,257.010010,287.410004,287.410004,231556400
2019-11-01,288.700012,316.820007,281.140015,314.660004,314.660004,113645900
2019-12-01,314.390015,338.000000,292.019989,323.570007,323.570007,124723600
2020-01-01,326.100006,359.850006,321.200012,345.089996,345.089996,169874000
2020-02-01,347.239990,392.950012,346.279999,369.029999,369.029999,114056000
2020-03-01,373.109985,393.519989,290.250000,375.500000,375.500000,201979100
2020-04-01,376.049988,449.519989,357.510010,419.850006,419.850006,225111600
2020-05-01,415.100006,458.970001,397.859985,419.730011,419.730011,135055800
2020-06-01,418.829987,474.010010,404.250000,455.040009,455.040009,117279900
2020-07-01,454.000000,575.369995,454.000000,488.880005,488.880005,232206300
2020-08-01,490.859985,549.039978,466.549988,529.559998,529.559998,116261900
2020-09-01,532.599976,557.390015,458.600006,500.029999,500.029999,118796900
2020-10-01,506.029999,572.489990,472.209991,475.739990,475.739990,154302400
2020-11-01,478.869995,518.729980,463.410004,490.700012,490.700012,91788900
2020-12-01,492.339996,545.500000,491.290009,540.729980,540.729980,77564100
2021-01-01,539.000000,593.289978,485.670013,532.390015,532.390015,139988600
2021-02-01,536.789978,566.650024,518.280029,538.849976,538.849976,61902300
2021-03-01,545.570007,556.989990,492.850006,521.659973,521.659973,90183900
2021-04-01,529.929993,563.559998,499.000000,513.469971,513.469971,111573300
2021-05-01,512.650024,518.950012,478.540009,502.809998,502.809998,66927600
2021-06-01,504.010010,536.130005,482.140015,528.210022,528.210022,78560600
2021-07-01,525.719971,557.539978,504.660004,517.570007,517.570007,77221200
2021-08-01,519.000000,569.479980,505.369995,569.190002,569.190002,54747700
2021-09-01,569.000000,619.000000,568.080017,610.340027,610.340027,82317500
2021-10-01,604.239990,690.969971,594.679993,690.309998,690.309998,98576300
2021-11-01,689.059998,700.989990,640.010010,641.900024,641.900024,64530200
2021-12-01,649.479980,654.520020,581.739990,602.440002,602.440002,59975300
2022-01-01,605.609985,609.989990,351.459991,427.140015,427.140015,241662000
2022-02-01,432.959991,458.480011,354.720001,394.519989,394.519989,151010700
2022-03-01,391.600006,396.500000,329.820007,374.589996,374.589996,119491900
2022-04-01,376.799988,396.019989,185.600006,190.360001,190.360001,403218700
